sector0_superlayer0_layer0_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer0 layer0  |                 0.0000*mm   0.0000*mm   0.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | ff11aa   |       G4GenericTrap  |139.8500*mm      77.000000*mm      -3.929620*mm      80.000000*mm      -4.086845*mm      80.000000*mm       4.086845*mm      77.000000*mm       3.929620*mm      77.000000*mm      -3.929620*mm      80.000000*mm      -4.086845*mm      80.000000*mm       4.086845*mm      77.000000*mm       3.929620*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 0 layer manual 0 paddle manual 1 order manual 0 
sector0_superlayer1_layer2_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer2  |                 0.0000*mm   0.0000*mm -70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 2 paddle manual 1 order manual 0 
sector0_superlayer1_layer2_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer2  |                 0.0000*mm   0.0000*mm -70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 2 paddle manual 2 order manual 0 
sector0_superlayer1_layer2_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer2  |                 0.0000*mm   0.0000*mm -70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 2 paddle manual 3 order manual 0 
sector0_superlayer1_layer2_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer2  |                 0.0000*mm   0.0000*mm -70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 2 paddle manual 4 order manual 0 
sector0_superlayer1_layer3_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer3  |                 0.0000*mm   0.0000*mm -42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 3 paddle manual 1 order manual 0 
sector0_superlayer1_layer3_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer3  |                 0.0000*mm   0.0000*mm -42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 3 paddle manual 2 order manual 0 
sector0_superlayer1_layer3_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer3  |                 0.0000*mm   0.0000*mm -42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 3 paddle manual 3 order manual 0 
sector0_superlayer1_layer3_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer3  |                 0.0000*mm   0.0000*mm -42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 3 paddle manual 4 order manual 0 
sector0_superlayer1_layer4_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer4  |                 0.0000*mm   0.0000*mm -14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 4 paddle manual 1 order manual 0 
sector0_superlayer1_layer4_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer4  |                 0.0000*mm   0.0000*mm -14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 4 paddle manual 2 order manual 0 
sector0_superlayer1_layer4_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer4  |                 0.0000*mm   0.0000*mm -14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 4 paddle manual 3 order manual 0 
sector0_superlayer1_layer4_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer4  |                 0.0000*mm   0.0000*mm -14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 4 paddle manual 4 order manual 0 
sector0_superlayer1_layer5_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer5  |                 0.0000*mm   0.0000*mm  14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 5 paddle manual 1 order manual 0 
sector0_superlayer1_layer5_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer5  |                 0.0000*mm   0.0000*mm  14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 5 paddle manual 2 order manual 0 
sector0_superlayer1_layer5_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer5  |                 0.0000*mm   0.0000*mm  14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 5 paddle manual 3 order manual 0 
sector0_superlayer1_layer5_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer5  |                 0.0000*mm   0.0000*mm  14.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 5 paddle manual 4 order manual 0 
sector0_superlayer1_layer6_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer6  |                 0.0000*mm   0.0000*mm  42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 6 paddle manual 1 order manual 0 
sector0_superlayer1_layer6_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer6  |                 0.0000*mm   0.0000*mm  42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 6 paddle manual 2 order manual 0 
sector0_superlayer1_layer6_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer6  |                 0.0000*mm   0.0000*mm  42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 6 paddle manual 3 order manual 0 
sector0_superlayer1_layer6_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer6  |                 0.0000*mm   0.0000*mm  42.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 6 paddle manual 4 order manual 0 
sector0_superlayer1_layer7_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer7  |                 0.0000*mm   0.0000*mm  70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 7 paddle manual 1 order manual 0 
sector0_superlayer1_layer7_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer7  |                 0.0000*mm   0.0000*mm  70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 7 paddle manual 2 order manual 0 
sector0_superlayer1_layer7_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer7  |                 0.0000*mm   0.0000*mm  70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 7 paddle manual 3 order manual 0 
sector0_superlayer1_layer7_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer7  |                 0.0000*mm   0.0000*mm  70.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm      77.347426*mm      20.834539*mm      96.692454*mm      26.018024*mm      93.518849*mm      35.785375*mm      74.821617*mm      28.608180*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 7 paddle manual 4 order manual 0 
sector0_superlayer1_layer8_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer8  |                 0.0000*mm   0.0000*mm  98.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm      80.000000*mm      -4.086845*mm     100.000000*mm      -5.135000*mm     100.000000*mm       5.135000*mm      80.000000*mm       4.086845*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 8 paddle manual 1 order manual 0 
sector0_superlayer1_layer8_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer8  |                 0.0000*mm   0.0000*mm  98.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm      79.988943*mm       4.297820*mm      99.988943*mm       5.345976*mm      98.915436*mm      15.559716*mm      79.134560*mm      12.426734*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 8 paddle manual 2 order manual 0 
sector0_superlayer1_layer8_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer8  |                 0.0000*mm   0.0000*mm  98.0000*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm      79.101511*mm      12.635398*mm      98.882387*mm      15.768381*mm      96.747134*mm      25.813957*mm      77.402105*mm      20.630473*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |             alrttof  |             alrttof  |sector manual 0 superlayer manual 1 layer manual 8 paddle manual 3 order manual 0 
