                 cnd  |                root  |      Central Neutron Detector  |                    0*cm 0*cm 0.529000000000002*cm  |                                   0 0 0  | 33bb99   |            Polycone  |0.0*deg 360*deg 3*counts 28.95*cm 28.95*cm 35.56*cm 38.56*cm 38.56*cm 38.56*cm -39.578*cm 32.0364*cm 39.578*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
        CND_S2_L3_C1  |                 cnd  |Central Neutron Detector, S 2, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 67.5*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     2   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 2 layer manual 3 component manual 1 direct manual 0 
        CND_S2_L3_C2  |                 cnd  |Central Neutron Detector, S 2, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 67.5*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     2   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 2 layer manual 3 component manual 2 direct manual 0 
        CND_S3_L1_C1  |                 cnd  |Central Neutron Detector, S 3, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg 52.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 3 layer manual 1 component manual 1 direct manual 0 
        CND_S3_L1_C2  |                 cnd  |Central Neutron Detector, S 3, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg 52.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 3 layer manual 1 component manual 2 direct manual 0 
        CND_S3_L2_C1  |                 cnd  |Central Neutron Detector, S 3, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg 52.5*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 3 layer manual 2 component manual 1 direct manual 0 
        CND_S3_L2_C2  |                 cnd  |Central Neutron Detector, S 3, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg 52.5*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 3 layer manual 2 component manual 2 direct manual 0 
        CND_S3_L3_C1  |                 cnd  |Central Neutron Detector, S 3, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 52.5*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 3 layer manual 3 component manual 1 direct manual 0 
        CND_S3_L3_C2  |                 cnd  |Central Neutron Detector, S 3, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 52.5*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     3   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 3 layer manual 3 component manual 2 direct manual 0 
        CND_S4_L1_C1  |                 cnd  |Central Neutron Detector, S 4, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg 37.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 4 layer manual 1 component manual 1 direct manual 0 
        CND_S4_L1_C2  |                 cnd  |Central Neutron Detector, S 4, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg 37.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 4 layer manual 1 component manual 2 direct manual 0 
        CND_S4_L2_C1  |                 cnd  |Central Neutron Detector, S 4, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg 37.5*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 4 layer manual 2 component manual 1 direct manual 0 
        CND_S4_L2_C2  |                 cnd  |Central Neutron Detector, S 4, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg 37.5*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 4 layer manual 2 component manual 2 direct manual 0 
        CND_S4_L3_C1  |                 cnd  |Central Neutron Detector, S 4, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 37.5*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 4 layer manual 3 component manual 1 direct manual 0 
        CND_S4_L3_C2  |                 cnd  |Central Neutron Detector, S 4, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 37.5*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     4   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 4 layer manual 3 component manual 2 direct manual 0 
        CND_S5_L1_C1  |                 cnd  |Central Neutron Detector, S 5, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg 22.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 5 layer manual 1 component manual 1 direct manual 0 
        CND_S5_L1_C2  |                 cnd  |Central Neutron Detector, S 5, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg 22.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 5 layer manual 1 component manual 2 direct manual 0 
        CND_S5_L2_C1  |                 cnd  |Central Neutron Detector, S 5, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg 22.5*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 5 layer manual 2 component manual 1 direct manual 0 
        CND_S5_L2_C2  |                 cnd  |Central Neutron Detector, S 5, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg 22.5*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 5 layer manual 2 component manual 2 direct manual 0 
        CND_S5_L3_C1  |                 cnd  |Central Neutron Detector, S 5, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 22.5*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 5 layer manual 3 component manual 1 direct manual 0 
        CND_S5_L3_C2  |                 cnd  |Central Neutron Detector, S 5, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg 22.5*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     5   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 5 layer manual 3 component manual 2 direct manual 0 
        CND_S6_L1_C1  |                 cnd  |Central Neutron Detector, S 6, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 7.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 6 layer manual 1 component manual 1 direct manual 0 
        CND_S6_L1_C2  |                 cnd  |Central Neutron Detector, S 6, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 7.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 6 layer manual 1 component manual 2 direct manual 0 
        CND_S6_L2_C1  |                 cnd  |Central Neutron Detector, S 6, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg 7.5*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 6 layer manual 2 component manual 1 direct manual 0 
        CND_S6_L2_C2  |                 cnd  |Central Neutron Detector, S 6, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                     0*deg 0*deg 7.5*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 6 layer manual 2 component manual 2 direct manual 0 
        CND_S6_L3_C1  |                 cnd  |Central Neutron Detector, S 6, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg 7.5*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 6 layer manual 3 component manual 1 direct manual 0 
        CND_S6_L3_C2  |                 cnd  |Central Neutron Detector, S 6, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                     0*deg 0*deg 7.5*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     6   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 6 layer manual 3 component manual 2 direct manual 0 
        CND_S7_L1_C1  |                 cnd  |Central Neutron Detector, S 7, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -7.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 7 layer manual 1 component manual 1 direct manual 0 
        CND_S7_L1_C2  |                 cnd  |Central Neutron Detector, S 7, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                    0*deg 0*deg -7.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 7 layer manual 1 component manual 2 direct manual 0 
        CND_S7_L2_C1  |                 cnd  |Central Neutron Detector, S 7, L 2, C 1  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg -7.5*deg  | 239a47   |       G4GenericTrap  |35*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 7 layer manual 2 component manual 1 direct manual 0 
        CND_S7_L2_C2  |                 cnd  |Central Neutron Detector, S 7, L 2, C 2  |                               0*cm 0*cm -3.728*cm  |                    0*deg 0*deg -7.5*deg  | 239a47   |       G4GenericTrap  |35*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 7 layer manual 2 component manual 2 direct manual 0 
        CND_S7_L3_C1  |                 cnd  |Central Neutron Detector, S 7, L 3, C 1  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg -7.5*deg  | 145828   |       G4GenericTrap  |36.714*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 7 layer manual 3 component manual 1 direct manual 0 
        CND_S7_L3_C2  |                 cnd  |Central Neutron Detector, S 7, L 3, C 2  |                               0*cm 0*cm -2.014*cm  |                    0*deg 0*deg -7.5*deg  | 145828   |       G4GenericTrap  |36.714*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       ScintillatorB  |                  no  |     7   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 7 layer manual 3 component manual 2 direct manual 0 
        CND_S8_L1_C1  |                 cnd  |Central Neutron Detector, S 8, L 1, C 1  |                               0*cm 0*cm -6.242*cm  |                   0*deg 0*deg -22.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |     8   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 8 layer manual 1 component manual 1 direct manual 0 
        CND_S8_L1_C2  |                 cnd  |Central Neutron Detector, S 8, L 1, C 2  |                               0*cm 0*cm -6.242*cm  |                   0*deg 0*deg -22.5*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |     8   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 8 layer manual 1 component manual 2 direct manual 0 
